Reference,Qty,Value,Mouser#,Digikey#,Amazon Link,Price/unit,Line Price,,,,,
BT1,1,CR1220,737-BH-127A-1,,,0.3,0.3,,,,,
"C12,C13,C15",3,10uF,810-FG18X5R1E106MR00,,,0.278,0.834,,,,,
C16,1,4.7uF,810-FG28X5R1E475KRT6 ,,,0.22,0.22,,,,,
C2,1,22?F,581-TAP226K035CCS,,,1.05,1.05,,,,,
"C21,C22",2,0.33uF,810-FG18X7R1H334KRT6,,,0.115,0.23,,,,,
"C23,C24",2,18nF,594-K183K10X7RF53H5,,,0.121,0.242,,,,,
C3,1,39pF,80-C317C390J2G,,,0.12,0.12,,,,,
C4,1,100nF,594-K104K15X7RF53L2 ,,,0.106,0.106,,,,,
C5,1,68?F,581-TAP686K025CCS ,,,2.18,2.18,,,,,
C6,1,6F 6V,815-ADCMS06R0SA605RB ,,,5.51,5.51,,,,,
"C7,C8,C9,C10",4,0.1uF,594-K104K15X7RF5WH5 ,,,0.089,0.356,,,,,
"D1,D2,D3",3,1N5822 Schottky,511-1N5822,,,0.28,0.84,,,,,
D4,1,1N4734A 5.6V,78-1N4734A,,,0.052,0.052,,,,,
D5,1,VCC LED,859-LTL-4213 ,,,0.088,0.088,,,,,
D6,1,PSU LED,859-LTL-4213 ,,,0.088,0.088,,,,,
F1,1,100mA 250V,576-0313.100MXP,,,2.29,2.29,,,,,
F2,1,100mA 250V,693-0034.7105,,,0.814,0.814,,,,,
F3,1,250mA 250V,576-0313.250HXP ,,,1.43,1.43,,,,,
F4,1,1.5A 250V,,,https://www.amazon.com/dp/B07MCHQQ7Z?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1.67,1.67,,,,,
IC1,1,ATM90E32AS-AU-R,556-ATM90E32AS-AU-R,,,3.66,3.66,,,,,
IC2,1,LM2621MMX_NOPB,926-LM2621MMX/NOPB,,,1.77,1.77,,,,,
J1,1,LCD Pins,910-HDR100IMP40MGVTH ,,,0.058,0.058,,,,,
J10,1,I2 Use/GND,910-HDR100IMP40MGVTH ,,,0.058,0.058,,,,,
J11,1,Input,490-TB005-762-02BE ,,,0.66,0.66,,,,,
J12,1,V3 Use/GND,910-HDR100IMP40MGVTH ,,,0.058,0.058,,,,,
J13,1,I1,910-HDR100IMP40MGVTH ,,,0.029,0.029,,,,,
"J14,J15",2,Series/Para,910-HDR100IMP40MGVTH ,,,0.058,0.116,,,,,
